分别之际，高老拿出二百两银子给唐僧途中费用，唐僧没拿，只有（    ）。,,选项 B ,,,,,,,
离开时，猪八戒与高家的婚姻（      ）。,,选项 A ,,,,,,,
离开高老庄，师徒来到浮屠山，山中有个修道的（      ）。,,选项 A ,,,,,,,
乌巢禅师住在（      ）的巢穴中。,,选项 A ,,,,,,,
为了避免一路魔障伤害唐僧师徒，乌巢禅师传给唐僧（     ），凡五十四句。,,选项 C ,,,,,,,
唐僧问乌巢禅师西去路程情况，禅师笑着说了一段，其中“水怪前头遇”意为（   ）。,,选项 B ,,,,,,,
离开乌巢禅师，师徒来到山路，悟空说八戒恋家，唐僧叫他回去，八戒（    ）。,,选项 D ,,,,,,,
黄风岭上，悟空他们追打虎皮怪，最后只见到虎皮底下石头，悟空才明白中了（    ）。,,选项 A ,,,,,,,
黄风洞里，先锋报告抓来了唐僧，洞主听到后就表示（      ）。,,选项 B ,,,,,,,
悟空与黄风怪厮打好久，后来悟空败下阵来，原因是（     ）。,,选项 C ,,,,,,,
悟空被黄风怪吹坏了眼睛，来到庄子里，人家用（       ）治好了。,,选项 D ,,,,,,,
治好眼睛，悟空要了解唐僧现在情况，就变成（     ）进入洞里观察。,,选项 B ,,,,,,,
如何制服黄风怪？悟空本无办法，可是黄风怪对小妖说话时露出他的克星是（    ）。,,选项 C ,,,,,,,
太白金星变成一位老者，告诉战胜黄风怪的克星灵吉菩萨在（     ）。,,选项 B ,,,,,,,
黄风怪又要张开大口呼风，灵吉菩萨丢下八爪金龙，抓住妖怪摔死，现出（   ）本相。,,选项 D ,,,,,,,
黄风怪现出本相后，悟空欲一棒打死它，但是被菩萨止住了，因为（     ）。,,选项 A ,,,,,,,
行过八百黄风岭，师徒三人来到河边，石碑上篆体字写着“（      ）”。,,选项 C ,,,,,,,
来到流沙河边，浪涌如山，一个旋风奔上一个妖怪，（     )。,,选项 B ,,,,,,,
师徒三人在流沙河岸边商议如何处置妖怪，大家一致认为（     ),才能过河。,,选项 D ,,,,,,
在流沙河与妖怪大战，悟空与八戒两位比较，（       ）。,,选项 C ,,,,,,,
在流沙河与妖怪难以胜出，悟空只能来南海求菩萨，菩萨却批评他们（     ）。,,选项 A ,,,,,,,
观音听到悟空求助后，袖中取出一个红葫芦，（      ）。,,选项 B ,,,,,,,
他们渡流沙河的船是将沙僧的九个骷髅穿在一处，按九宫布列，把（  ）放在中间。,,选项 D ,,,,,,,
木叉在空中厉声高叫沙僧的法名“（     ）”。,,选项 C ,,,,,,,
渡过流沙河，沙和尚脖子上的九个骷髅（     ）不见了。,,选项 B ,,,,,,,
四人来到西牛贺洲，看到一座庄园，一个妇人出厅迎接，（    ）看去非常妖娆。,,选项 D ,,,,,,,
妇人一家四位妇女，唐僧师徒也是四人，妇人提出正好相配，（    ）听了心痒难挠。,,选项 C ,,,,,,,
妇人提出与师徒四人相配，唐僧回绝，妇人大怒，此时唐僧先要（     ）留下来。,,选项 A ,,,,,,,
孙悟空叫八戒留在这个人家享受富贵，八戒（     ）。,,选项 D ,,,,,,,
猪八戒为了说明留下来有理，说大家都有这样想法，并说常言道：“（     ）”。,,选项 B ,,,,,,,
几个人商量没有结果，猪八戒急忙去放马，目的是（       ）。,,选项 C ,,,,,,,
八戒来到后面，看到妇人立即表白自己乐意，妇人要他与师傅商量，老猪（     ）。,,选项 A ,,,,,,,
妇人带了三个女儿排立厅中，师徒四人只有（     ）淫心紊乱，色胆纵横。,,选项 D ,,,,,,,
八戒第一次单独遇到妇人时叫她“（    ）”，充分表明他希望被招女婿。,,选项 C ,,,,,,,
听到妇人正在把三个女儿中哪个给八戒为难，八戒立刻说：“（     ）”。,,选项 B ,,,,,,,
妇人最后拿了手帕顶在八戒头上，盖住八戒脸，（     ），定个人选。,,选项 A ,,,,,,,
八戒折腾好久也没捞到一个，又听妇人说女儿不肯，就（     ）。,,选项 D ,,,,,,,
师徒四人来到万寿山，山中有座好居止叫（     ）。,,选项 C ,,,,,,,
五庄观里有一尊仙人，道号叫（    ）。,,选项 B ,,,,,,,
五庄观里有宝，在天地未开之际产下灵根，结出草还丹，又名（     ）。,,选项 A ,,,,,,,
人参果的模样，如三朝未满的小孩，功能是闻闻就让人延年，差不多（     ）一熟。,,选项 C ,,,,,,,
镇元子要去弥罗宫听讲，叫小道童留下等唐僧来到，他把唐僧作为（    ）。,,选项 D ,,,,,,,
镇元子的徒弟听说师傅与和尚旧相识，觉得奇怪，用孔子的“（     ）”表示不解。,,选项 B ,,,,,,,
镇元子要求徒弟打（     ）人参果给唐僧吃，绝不能多给。,,选项 C ,,,,,,,
道童拿出人参果给唐僧吃，三藏战战兢兢，以为是拿了（   ）给他吃。,,选项 B ,,,,,,,
悟空打了一个人参果下来却怎么也找不到，以为是园子里的（     ）吃掉了。,,选项 A ,,,,,,,
道童怎么知道悟空他们偷了人参果？原来是（     ）。,,选项 D ,,,,,,,
偷吃人参果的事情败露，悟空直接承认了，道童说是四个，八戒听后（     ）。,,选项 C ,,,,,,,
看到道童冤枉自己，八戒又胡缠，道童越骂越凶，悟空就（     ）。,,选项 B ,,,,,,,
悟空推倒果树，道童在（     ）时候才发现。,,选项 A ,,,,,,,
道童发现果树被推倒，为了稳定唐僧师徒，假称果子不少，悟空听后认为（     ）。,,选项 C ,,,,,,,
唐僧师徒开饭了，道童忙取了不少菜肴给他们，这是为了（     ）。,,选项 D ,,,,,,,
在五庄观，唐僧师徒住的房间好几层门紧闭，悟空用（     ）打开了所有大门。,,选项 C ,,,,,,,
师徒四人走出五庄观，悟空回去“照顾”道童，（      ）让道童酣睡不醒。,,选项 B ,,,,,,,
镇元子一大早回观，看到观门大开，觉得奇怪，（       ）。,,选项 A ,,,,,,,
镇元子赶上唐僧师徒，认准后，（      ）四人一马，带回观里。,,选项 B ,,,,,,,
师徒四人被绑在柱子上，镇元子拿出（      ）要打他们。,,选项 C ,,,,,,,
小仙拿着鞭子问先打哪个？镇元子叫先打（     ）。,,选项 D ,,,,,,,
悟空听到镇元子要先打师傅，忍不住叫他们先打自己，因为他觉得（     ）。,,选项 A ,,,,,,,
小仙问镇元子打多少鞭，他说按照（     ）打三十鞭。,,选项 B ,,,,,,,
夜里万籁俱寂之时，悟空领大家出观，用（      ）变成四个人照样绑在那里。,,选项 C ,,,,,,,
第二天，唐僧师徒在路上，道童按照指示又来打人，依次打了（     ）。,,选项 D ,,,,,,,
第二次被镇元子抓住，他们搬出大锅，要油煎悟空，孙悟空立刻（     ）。,,选项 B ,,,,,,,
镇元子与悟空相斗难有胜负，悟空愿意救活果树，镇元子说若能这样，他愿意（   ）。,,选项 A ,,,,,,,
悟空为了救活人参果树，先去了（    ）寻求办法。,,选项 D ,,,,,,,
来到蓬莱，看到福禄寿三星在下棋，悟空上前叫他们“（     ）”。,,选项 C ,,,,,,,
三星其实也无法医活果树，他们答应去五庄观为悟空说情，（     ）。,,选项 B ,,,,,,,
辞别蓬莱，悟空来到方丈山，看到大仙，翠屏后转出个汉代滑稽大师（   ）仙童。,,选项 A ,,,,,,,
在方丈山，帝君告诉悟空，他有“九转太乙还丹”，只能医（     ），不能医树。,,选项 D ,,,,,,,
离开方丈山，悟空来到（     ），这是海岛三个仙山的最后一座。,,选项 C ,,,,,,,
为了医活人参果树，最后悟空来到普陀山，观音菩萨正好在紫竹林（      ）。,,选项 B ,,,,,,,
来到紫竹林，曾与悟空大斗的黑熊在，悟空提起他为妖的事，黑熊说“（      ）”。,,选项 A ,,,,,,,
观音菩萨用净瓶中的（     ）可以救活人参果树。,,选项 D ,,,,,,,
观音医活了人参果树，镇元子做了“人参果会”，菩萨等各吃一个，还有一个（  ）。,,选项 C ,,,,,,,
白骨精要捉拿唐僧吃，一共戏弄了三藏（    ），不断改变模样。,,选项 B ,,,,,,,
本来白骨精深藏洞中，因为（     ）才惊动了那个妖精。,,选项 A ,,,,,,,
白骨精第一次变化的模样是（     ）。,,选项 C ,,,,,,,
唐僧看到这个妖精假扮的女子，连续问其住处、家庭等，应该是（     ）。,,选项 D ,,,,,,,
白骨精谎称自己家人敬佛，要把饭菜给唐僧他们吃，师徒中（      ）。,,选项 C ,,,,,,,
白骨精被悟空劈脸一棒，运用“（     ）”丢下假尸，真身飞走了。,,选项 B ,,,,,,,
看到白骨精丢下的尸体，唐僧怒不可遏，看见所谓“米饭”后，对悟空的话（    ）。,,选项 A ,,,,,,,
猪八戒看到师傅有些信悟空，就告诉师傅这些癞蛤蟆等是悟空变的，唐僧就（    ）。,,选项 D ,,,,,,,
白骨精第二次变成了老妇人，（     ）说是刚才女子的母亲。,,选项 B ,,,,,,,
悟空知道老妇人是妖精，举棒就打，唐僧把《紧箍咒》念了二十遍，（    ）才放过。,,选项 C ,,,,,,,
第二次赶走悟空，唐僧绝无回意，悟空求他（     ）就回花果山去。,,选项 A ,,,,,,,
白骨精第三次变作一个老头，悟空一看就认出妖精真相，是打还是不打？悟空（    ）。,,选项 B ,,,,,,,
悟空第三次打了白骨精，告诉唐僧原委，唐僧态度是（    ）。,,选项 C ,,,,,,,
师傅第三次赶走悟空，悟空不能不走，因为他觉得“（     ）”，不然成无耻之人。,,选项 D ,,,,,,,
为了让悟空相信他走后不再念《紧箍咒》，唐僧给了悟空（     ）。,,选项 A ,,,,,,,
临走时，悟空要给唐僧行礼，唐僧坚决不受，因为他认为悟空是个（    ）。,,选项 B ,,,,,,,
悟空被唐僧赶走回到花果山，看到草木俱无，林树焦枯，原因是（    ）。,,选项 C ,,,,,,,
听到悟空说唐僧不要他做徒弟西去取经了，众猴对此（      ）。,,选项 D ,,,,,,,
猪八戒明白“当家才知柴米价，养子方晓父娘恩”的道理，是在（     ）时候。,,选项 A ,,,,,,,
猪八戒一时化不到斋饭，又很疲倦，师傅又在等他的斋饭，他（     ）。,,选项 B ,,,,,,,
唐僧在八戒、沙僧走后，在附近走入塔院，看到一个妖魔，他（     ）。,,选项 C ,,,,,,,
沙僧寻找八戒，站在高处也看不见，因为八戒（     ）才发现了他。,,选项 A ,,,,,,,
八戒与沙僧寻找师傅来到塔院，看到门上一块白玉石板，上有“（     ）”六个字。,,选项 D ,,,,,,,
八戒与沙僧与妖怪大战时，唐僧忽见洞里走出一位妇人，此人是（    ）的三公主。,,选项 B ,,,,,,,
宝象国三公主百花羞是在（       ）赏月时候被妖怪摄入妖怪洞中的。,,选项 C ,,,,,,,
百花羞借梦景要求妖怪放了唐僧，那妖怪（     ）。,,选项 A ,,,,,,,
在宝象国，听到国王宣唐僧徒弟觐见，八戒首先想到的是（     ）。,,选项 B ,,,,,,,
为了验证八戒的法力，国王要求变形，八戒就长了八九丈长，扬言可以（     ）。,,选项 C ,,,,,,,
八戒与沙僧共斗黄袍怪，战他不过，八戒偷偷躲起来，结果沙僧（     ）。,,选项 D ,,,,,,,
黄袍怪打算前往宝象国去认亲，公主百花羞不让他去，原因是（    ），会吓坏国王。,,选项 A ,,,,,,,
黄袍怪来到朝门外，要求面见国王，国王征求唐僧意见，唐僧认为还是（    ）为妥。,,选项 C ,,,,,,,
黄袍怪进入王宫，大家看他生得俊丽，认为他是（    ）。,,选项 B ,,,,,,,
宝象国王听黄袍怪说眼前的唐僧是假的，是一个猛虎修炼变的，国王听后（    ）。,,选项 D ,,,,,,,
黄袍怪使了（       ），把唐僧立刻变成一只斑斓猛虎。,,选项 A ,,,,,,,
看到唐僧变成了猛虎，宝象国王（      ）。,,选项 D ,,,,,,,
宝象国王以为黄袍怪是救女儿的英雄，大排宴席，选十八宫女歌舞，酒多了，（   ）。,,选项 B ,,,,,,,
唐僧被变为老虎后，白马化作龙观察内廷，后来又变作（    ）去戏弄黄袍怪。,,选项 C ,,,,,,,
听小龙述说了唐僧遭的难，刚从草丛中睡醒来的八戒（     ），让小龙很伤心。,,选项 B ,,,,,,,
小龙要八戒去请悟空回来，无奈下只好前去，不过他说如果悟空不来，他就（   ）。,,选项 A ,,,,,,,
猪八戒来找孙悟空，不敢说唐僧遭难，推说师傅想他，悟空不肯去，八戒（    ）。,,选项 D ,,,,,,,
八戒因骂悟空被抓回，无可奈何，他只得说出唐僧遭难实情，且用（   )使悟空降妖。,,选项 C ,,,,,,,
悟空来到波月洞，要救沙僧。他后来用（      ）方法救出了沙和尚。,,选项 B ,,,,,,,
救出沙僧，悟空设计降妖，遇到百花羞阻拦，悟空告诉她自己可以降妖，公主（    ）。,,选项 A ,,,,,,,
为了更好擒拿黄袍怪，孙悟空让公主藏起来，（     ），在洞中专等妖怪前来。,,选项 D ,,,,,,,
根据玉帝查找，黄袍怪原来是二十八星宿中的（     ）。,,选项 C ,,,,,,,
变成猛虎的唐僧，最后由孙悟空用（    ）且念真言退了妖术，解了虎气。,,选项 A ,,,,,,,
师徒来到平顶山，只见一个樵子厉声传信，说这里有个（    ），住着两个魔头。,,选项 D ,,,,,,,
樵子传信道，这平顶山莲花洞的魔头一心要（      ),要他们格外小心。,,选项 B ,,,,,,
悟空知道在平顶山单靠自己不行，又担心八戒不肯帮忙，用（    )逼师傅叫八戒听话。,,选项 C ,,,,,,,
看到悟空竟然面对现实流泪了，八戒马上（     ）。,,选项 D ,,,,,,,
在平顶山，悟空要八戒在看师傅与巡山中选择一件事情，八戒（    ）。,,选项 A ,,,,,,,
猪八戒去巡山，走了七八里就大骂唐僧三人，恰被悟空全听见了，因为悟空（    ）。,,选项 B ,,,,,,,
骂了一阵，八戒想反正他们不知道，先（      ），待会编个谎骗他们就行了。,,选项 C ,,,,,,,
看到八戒睡倒，悟空就（     ）。,,选项 D ,,,,,,,
八戒在平顶山，对着大青石唱个喏，然后（      ),应付他们,,选项 A ,,,,,,
悟空回到师傅身边，告诉他八戒在编谎，唐僧听了（     ）。,,选项 C ,,,,,,,
平顶山莲花洞里住着两个妖怪，一个叫（     ），另一个叫银角大王。,,选项 B ,,,,,,,
金角、银角两王并不认识唐僧，为了吃到唐僧肉，他们（     ），绝不有问题。,,选项 D ,,,,,,,
八戒在巡山路上，撞上一群妖怪，没想到妖怪中竟然有叫出他名字的，原来（    ）。,,选项 A ,,,,,,,
金角大王告诉银角大王，他抓错了人，说猪八戒没用，后来八戒被（     ）。,,选项 C ,,,,,,,
银角大王第二次巡山，明明已经看到唐僧，却告诉小妖说唐僧吃不成了，因为（   ）。,,选项 B ,,,,,,,
银角大王为得唐僧，假扮成一个（    ），在路边叫“救人”。,,选项 D ,,,,,,,
拿妖怪听见要让沙僧驮他，假装说害怕，却认定了（     ）。,,选项 B ,,,,,,,
悟空驮着银角大王，想掼死妖怪，却被他用“（    ）”差点让须弥山压住自己。,,选项 C ,,,,,,,
悟空被大山压着，金角大王怕他来寻仇，银角就让小妖带着（     ）把悟空装在里面。,,选项 A ,,,,,,,
从土地那里得知妖怪喜欢炼丹，悟空就把自己变成个（     ），等来抓他的妖怪。,,选项 B ,,,,,,,
悟空看到小妖两个宝贝厉害，就设计了一个（    ）骗过来了。,,选项 D ,,,,,,,
悟空的所谓装天其实只是（    ），小妖以为天真的装在葫芦里了。,,选项 C ,,,,,,,
骗来了两个宝贝，为了防止反悔，悟空与小妖个（      ）的毒誓。,,选项 A ,,,,,,,
两个小妖拿两个宝贝换了孙悟空的假葫芦，直到（     ）时候才完全明白上当了。,,选项 D ,,,,,,,
小妖捉拿悟空失败，银角大王又想出请压龙洞老奶奶带（     ）来捆悟空。,,选项 B ,,,,,,,
悟空跟着巴山虎和倚海龙去压龙洞，半路上变成另外一个小妖，(    )进入妖洞。,,选项 C ,,,,,,,
悟空进入压龙洞，大哭起来，大家都不明白，其实他是因为（     ）才哭的。,,选项 D ,,,,,,,
